CMDLINE /anaconda3/bin/python fit_gensim_lda.py
MEM 0.023438 1521750517.4182
MEM 13.476562 1521750517.5235
MEM 21.585938 1521750517.6267
MEM 29.480469 1521750517.7286
MEM 31.945312 1521750517.8335
MEM 34.695312 1521750517.9340
MEM 34.695312 1521750518.0342
MEM 34.695312 1521750518.1345
MEM 43.464844 1521750518.2396
MEM 45.031250 1521750518.3410
MEM 47.070312 1521750518.4412
MEM 49.039062 1521750518.5414
MEM 53.402344 1521750518.6416
MEM 57.097656 1521750518.7420
MEM 61.296875 1521750518.8442
MEM 64.031250 1521750518.9444
MEM 69.542969 1521750519.0447
MEM 71.917969 1521750519.1450
MEM 73.988281 1521750519.2458
MEM 76.265625 1521750519.3494
MEM 78.234375 1521750519.4502
MEM 81.039062 1521750519.5511
MEM 84.507812 1521750519.6528
MEM 87.675781 1521750519.7534
MEM 89.308594 1521750519.8579
MEM 89.308594 1521750519.9625
MEM 89.308594 1521750520.0629
MEM 89.308594 1521750520.1671
MEM 89.308594 1521750520.2725
MEM 89.308594 1521750520.3728
MEM 89.308594 1521750520.4746
MEM 89.308594 1521750520.5750
MEM 89.308594 1521750520.6752
MEM 89.308594 1521750520.7757
MEM 89.308594 1521750520.8767
MEM 89.308594 1521750520.9776
MEM 89.308594 1521750521.0832
MEM 89.308594 1521750521.1837
MEM 89.308594 1521750521.2847
MEM 89.308594 1521750521.3901
MEM 89.308594 1521750521.4911
MEM 89.308594 1521750521.5916
MEM 89.308594 1521750521.6919
MEM 89.308594 1521750521.7924
MEM 89.308594 1521750521.8979
MEM 89.308594 1521750522.0005
MEM 89.308594 1521750522.1010
MEM 89.308594 1521750522.2052
MEM 89.308594 1521750522.3098
MEM 89.308594 1521750522.4153
MEM 89.308594 1521750522.5169
MEM 89.308594 1521750522.6178
MEM 89.308594 1521750522.7233
MEM 89.308594 1521750522.8244
MEM 89.308594 1521750522.9248
MEM 89.308594 1521750523.0291
MEM 89.308594 1521750523.1335
MEM 89.308594 1521750523.2387
MEM 89.308594 1521750523.3401
MEM 89.308594 1521750523.4414
MEM 89.308594 1521750523.5419
MEM 89.308594 1521750523.6433
MEM 89.308594 1521750523.7468
MEM 89.308594 1521750523.8494
MEM 89.308594 1521750523.9499
MEM 89.308594 1521750524.0503
MEM 89.308594 1521750524.1532
MEM 89.308594 1521750524.2562
MEM 89.308594 1521750524.3568
MEM 89.308594 1521750524.4576
MEM 89.308594 1521750524.5579
MEM 89.308594 1521750524.6604
MEM 89.308594 1521750524.7657
MEM 89.308594 1521750524.8669
MEM 89.308594 1521750524.9675
MEM 89.308594 1521750525.0679
MEM 89.308594 1521750525.1734
MEM 89.308594 1521750525.2741
MEM 89.308594 1521750525.3747
MEM 89.308594 1521750525.4752
MEM 89.308594 1521750525.5761
MEM 89.308594 1521750525.6790
MEM 89.308594 1521750525.7836
MEM 89.308594 1521750525.8891
MEM 89.308594 1521750525.9910
MEM 89.308594 1521750526.0915
MEM 89.308594 1521750526.1919
MEM 89.308594 1521750526.2974
MEM 89.308594 1521750526.4007
MEM 89.308594 1521750526.5014
MEM 89.308594 1521750526.6061
MEM 89.308594 1521750526.7072
MEM 89.308594 1521750526.8114
MEM 89.308594 1521750526.9168
MEM 89.308594 1521750527.0187
MEM 89.308594 1521750527.1235
MEM 89.308594 1521750527.2239
MEM 89.308594 1521750527.3248
MEM 89.308594 1521750527.4251
MEM 89.308594 1521750527.5255
MEM 89.308594 1521750527.6296
MEM 89.308594 1521750527.7346
MEM 89.308594 1521750527.8369
MEM 89.308594 1521750527.9382
MEM 89.308594 1521750528.0404
MEM 89.308594 1521750528.1410
MEM 89.308594 1521750528.2415
MEM 89.308594 1521750528.3420
MEM 89.308594 1521750528.4443
MEM 89.308594 1521750528.5456
MEM 89.308594 1521750528.6500
MEM 89.308594 1521750528.7532
MEM 89.308594 1521750528.8547
MEM 89.308594 1521750528.9572
MEM 89.308594 1521750529.0624
MEM 89.308594 1521750529.1662
MEM 89.308594 1521750529.2677
MEM 89.308594 1521750529.3687
MEM 89.308594 1521750529.4740
MEM 89.308594 1521750529.5795
MEM 89.308594 1521750529.6806
MEM 89.308594 1521750529.7809
MEM 89.308594 1521750529.8833
MEM 89.308594 1521750529.9888
MEM 89.308594 1521750530.0938
MEM 89.308594 1521750530.1941
MEM 89.308594 1521750530.2988
MEM 89.308594 1521750530.4006
MEM 89.308594 1521750530.5031
MEM 89.308594 1521750530.6064
MEM 89.308594 1521750530.7076
MEM 89.308594 1521750530.8080
MEM 89.308594 1521750530.9082
MEM 89.308594 1521750531.0093
MEM 89.308594 1521750531.1098
MEM 89.308594 1521750531.2116
MEM 89.308594 1521750531.3121
MEM 89.308594 1521750531.4167
MEM 89.308594 1521750531.5218
MEM 89.308594 1521750531.6246
MEM 89.308594 1521750531.7250
MEM 89.308594 1521750531.8255
MEM 89.308594 1521750531.9276
MEM 89.308594 1521750532.0325
MEM 89.308594 1521750532.1329
MEM 89.308594 1521750532.2334
MEM 89.308594 1521750532.3340
MEM 89.308594 1521750532.4381
