CMDLINE /home/r0b00sj/.conda/envs/capstone/bin/python fit_gensim_lda.py
MEM 3.000000 1522615611.9429
MEM 27.187500 1522615612.0431
MEM 42.562500 1522615612.1433
MEM 52.625000 1522615612.2435
MEM 76.687500 1522615612.3437
MEM 82.125000 1522615612.4438
MEM 87.500000 1522615612.5440
MEM 87.500000 1522615612.6443
MEM 87.500000 1522615612.7445
MEM 87.500000 1522615612.8448
MEM 87.500000 1522615612.9450
MEM 87.500000 1522615613.0453
MEM 87.500000 1522615613.1455
MEM 87.500000 1522615613.2457
MEM 87.500000 1522615613.3460
MEM 87.500000 1522615613.4462
MEM 87.500000 1522615613.5465
MEM 87.500000 1522615613.6467
MEM 87.500000 1522615613.7470
MEM 87.500000 1522615613.8472
MEM 87.500000 1522615613.9474
MEM 87.500000 1522615614.0477
MEM 87.500000 1522615614.1479
MEM 87.500000 1522615614.2482
MEM 87.500000 1522615614.3484
MEM 87.500000 1522615614.4487
MEM 87.500000 1522615614.5489
MEM 87.500000 1522615614.6492
MEM 87.500000 1522615614.7494
MEM 87.500000 1522615614.8496
MEM 87.500000 1522615614.9499
MEM 87.500000 1522615615.0501
MEM 87.500000 1522615615.1504
MEM 87.500000 1522615615.2506
MEM 87.500000 1522615615.3509
MEM 87.500000 1522615615.4511
MEM 87.500000 1522615615.5514
MEM 87.500000 1522615615.6516
MEM 87.500000 1522615615.7519
MEM 87.500000 1522615615.8521
MEM 87.500000 1522615615.9524
MEM 87.500000 1522615616.0526
MEM 87.500000 1522615616.1528
MEM 87.500000 1522615616.2531
MEM 87.500000 1522615616.3533
MEM 87.500000 1522615616.4536
MEM 87.500000 1522615616.5538
MEM 87.500000 1522615616.6541
MEM 87.500000 1522615616.7543
MEM 87.500000 1522615616.8546
MEM 87.500000 1522615616.9548
MEM 87.500000 1522615617.0551
MEM 87.500000 1522615617.1553
MEM 87.500000 1522615617.2556
MEM 87.500000 1522615617.3558
MEM 87.500000 1522615617.4561
MEM 87.500000 1522615617.5563
MEM 87.500000 1522615617.6566
MEM 87.500000 1522615617.7568
MEM 87.500000 1522615617.8571
MEM 87.500000 1522615617.9573
MEM 87.500000 1522615618.0575
MEM 87.500000 1522615618.1578
MEM 87.500000 1522615618.2580
MEM 87.500000 1522615618.3583
MEM 87.500000 1522615618.4585
MEM 87.500000 1522615618.5588
MEM 87.500000 1522615618.6590
MEM 87.500000 1522615618.7593
MEM 87.500000 1522615618.8595
MEM 87.500000 1522615618.9598
MEM 87.500000 1522615619.0600
MEM 87.500000 1522615619.1602
MEM 87.500000 1522615619.2605
MEM 87.500000 1522615619.3607
MEM 87.500000 1522615619.4610
MEM 87.500000 1522615619.5612
MEM 87.500000 1522615619.6615
MEM 87.500000 1522615619.7618
MEM 87.500000 1522615619.8620
MEM 87.500000 1522615619.9623
MEM 87.500000 1522615620.0625
MEM 87.500000 1522615620.1627
MEM 87.500000 1522615620.2630
MEM 87.500000 1522615620.3632
MEM 87.500000 1522615620.4635
MEM 87.500000 1522615620.5637
MEM 87.500000 1522615620.6640
MEM 87.500000 1522615620.7642
MEM 87.500000 1522615620.8644
MEM 87.500000 1522615620.9647
MEM 87.500000 1522615621.0649
MEM 87.500000 1522615621.1652
MEM 87.500000 1522615621.2654
MEM 87.500000 1522615621.3657
MEM 87.500000 1522615621.4659
MEM 87.500000 1522615621.5662
MEM 87.500000 1522615621.6664
MEM 87.500000 1522615621.7667
MEM 87.500000 1522615621.8669
MEM 87.500000 1522615621.9672
